# slug	url	tags
sindresorhus/awesome	https://github.com/sindresorhus/awesome.git	directory,meta
sindresorhus/awesome-awesome-awesome-awesome	https://github.com/sindresorhus/awesome-awesome-awesome-awesome.git	directory,meta
dend/awesome-product-management	https://github.com/dend/awesome-product-management.git	product,pm
batoreh/awesome-ux	https://github.com/batoreh/awesome-ux.git	ux
anubhavsrivastava/awesome-ux-design-styles	https://github.com/anubhavsrivastava/awesome-ux-design-styles.git	ux,design
jdm4pku/Awesome-RE	https://github.com/jdm4pku/Awesome-RE.git	requirements,elicitation
mehdihadeli/awesome-software-architecture	https://github.com/mehdihadeli/awesome-software-architecture.git	architecture
ccamara/awesome-architecture	https://github.com/ccamara/awesome-architecture.git	architecture
DovAmir/awesome-design-patterns	https://github.com/DovAmir/awesome-design-patterns.git	architecture,patterns
trendmicro-frontend/awesome	https://github.com/trendmicro-frontend/awesome.git	frontend
enaqx/awesome-react	https://github.com/enaqx/awesome-react.git	frontend,react
brillout/awesome-react-components	https://github.com/brillout/awesome-react-components.git	frontend,react,components
unicodeveloper/awesome-nextjs	https://github.com/unicodeveloper/awesome-nextjs.git	frontend,nextjs
dzharii/awesome-typescript	https://github.com/dzharii/awesome-typescript.git	typescript
sindresorhus/awesome-nodejs	https://github.com/sindresorhus/awesome-nodejs.git	nodejs
aniftyco/awesome-tailwindcss	https://github.com/aniftyco/awesome-tailwindcss.git	frontend,css,tailwind
vitejs/awesome-vite	https://github.com/vitejs/awesome-vite.git	frontend,vite
agarcialeon/awesome-database	https://github.com/agarcialeon/awesome-database.git	data,db
dhamaniasad/awesome-postgres	https://github.com/dhamaniasad/awesome-postgres.git	data,postgres
JamzyWang/awesome-redis	https://github.com/JamzyWang/awesome-redis.git	data,redis
igorbarinov/awesome-data-engineering	https://github.com/igorbarinov/awesome-data-engineering.git	data,engineering
Kikobeats/awesome-api	https://github.com/Kikobeats/awesome-api.git	api
marmelab/awesome-rest	https://github.com/marmelab/awesome-rest.git	api,rest
chentsulin/awesome-graphql	https://github.com/chentsulin/awesome-graphql.git	api,graphql
grpc-ecosystem/awesome-grpc	https://github.com/grpc-ecosystem/awesome-grpc.git	api,grpc
wmariuss/awesome-devops	https://github.com/wmariuss/awesome-devops.git	devops
donnemartin/awesome-aws	https://github.com/donnemartin/awesome-aws.git	cloud,aws
shuaibiyy/awesome-tf	https://github.com/shuaibiyy/awesome-tf.git	iac,terraform
ramitsurana/awesome-kubernetes	https://github.com/ramitsurana/awesome-kubernetes.git	kubernetes
rootsongjc/awesome-cloud-native	https://github.com/rootsongjc/awesome-cloud-native.git	cloud-native
awesome-foss/awesome-sysadmin	https://github.com/awesome-foss/awesome-sysadmin.git	sysadmin
sbilly/awesome-security	https://github.com/sbilly/awesome-security.git	security
paragonie/awesome-appsec	https://github.com/paragonie/awesome-appsec.git	security,appsec
pluja/awesome-privacy	https://github.com/pluja/awesome-privacy.git	privacy
arainho/awesome-api-security	https://github.com/arainho/awesome-api-security.git	security,api
dastergon/awesome-sre	https://github.com/dastergon/awesome-sre.git	sre,reliability
dastergon/awesome-chaos-engineering	https://github.com/dastergon/awesome-chaos-engineering.git	chaos,reliability
binhnguyennus/awesome-scalability	https://github.com/binhnguyennus/awesome-scalability.git	perf,scalability
davidsonfellipe/awesome-wpo	https://github.com/davidsonfellipe/awesome-wpo.git	perf,web
adriannovegil/awesome-observability	https://github.com/adriannovegil/awesome-observability.git	observability
SigNoz/Awesome-OpenTelemetry	https://github.com/SigNoz/Awesome-OpenTelemetry.git	observability,opentelemetry
warpnet/awesome-prometheus	https://github.com/warpnet/awesome-prometheus.git	observability,prometheus
ligurio/awesome-ci	https://github.com/ligurio/awesome-ci.git	cicd
sdras/awesome-actions	https://github.com/sdras/awesome-actions.git	cicd,github-actions
andrewdmaclean/awesome-feature-flag-management	https://github.com/andrewdmaclean/awesome-feature-flag-management.git	delivery,feature-flags
devsecops/awesome-devsecops	https://github.com/devsecops/awesome-devsecops.git	devsecops
TheJambo/awesome-testing	https://github.com/TheJambo/awesome-testing.git	testing
unicodeveloper/awesome-tdd	https://github.com/unicodeveloper/awesome-tdd.git	testing,tdd
theofidry/awesome-mutation-testing	https://github.com/theofidry/awesome-mutation-testing.git	testing,mutation
joho/awesome-code-review	https://github.com/joho/awesome-code-review.git	engineering,review
cloudfinops/awesome-finops	https://github.com/cloudfinops/awesome-finops.git	finops,cost
ElementTech/awesome-cloud-cost	https://github.com/ElementTech/awesome-cloud-cost.git	finops,cost
engineering-management/awesome-engineering-management	https://github.com/engineering-management/awesome-engineering-management.git	management,process
joelparkerhenderson/architecture-decision-record	https://github.com/joelparkerhenderson/architecture-decision-record.git	adr,architecture
